created_at,raw_text,likes_count,reply_count,source,is_spam,clean_text,normalized_text,final_text,text_length,word_count,clean_text_length,clean_word_count,label,annotator_id,labeling_date,confidence,notes
2026-03-22T14:30:17.000Z,Pas bekalnya mue goreng,0,,tiktok,False,pas bekalnya mue goreng,pas bekalnya mue goreng,pas bekalnya mue goreng,23.0,4.0,23,4,,,,,
2026-03-23T00:55:18.000Z,lama2 indonesia bangkrut kalau MBG yg kau agung2kan itu kau teruskan,0,0.0,tiktok,False,indonesia bangkrut makan bergizi gratis kau agung kau teruskan,lama indonesia bangkrut kalau makan bergizi gratis yg kau agung kan itu kau teruskan,indonesia bangkrut makan bergizi gratis kau agung kau teruskan,68.0,11.0,62,9,,,,,
2026-03-23T01:21:25.000Z,"Jls, Bapak pertahan kan, karna MBG itu kan Utk timses bapa",0,0.0,tiktok,False,"jls, pertahan kan, makan bergizi gratis timses bapa","jls, bapak pertahan kan, karena makan bergizi gratis itu kan untuk timses bapa","jls, pertahan kan, makan bergizi gratis timses bapa",58.0,11.0,51,8,,,,,
2026-03-24T07:17:38.000Z,"bukan msalah makan pak ,d mbg itu ladang basah pak .",0,0.0,tiktok,False,"bukan msalah makan ,d makan bergizi gratis ladang basah .","bukan msalah makan pak ,d makan bergizi gratis itu ladang basah pak .","bukan msalah makan ,d makan bergizi gratis ladang basah .",52.0,11.0,57,10,,,,,
2026-03-23T10:18:50.000Z,"Pak tp yg jadi masalah Menu MBG itu banyak yg ga sesuai,tolong di dengar keluhannya,,",1,0.0,tiktok,False,"menu makan bergizi gratis tidak sesuai,tolong dengar keluhannya,,","pak tapi yg jadi masalah menu makan bergizi gratis itu banyak yg tidak sesuai,tolong di dengar keluhannya,,","menu makan bergizi gratis tidak sesuai,tolong dengar keluhannya,,",85.0,15.0,65,8,,,,,
2026-03-23T23:47:18.000Z,mengamankan suara wkwk,1,,tiktok,False,mengamankan suara wkwk,mengamankan suara wkwk,mengamankan suara wkwk,22.0,3.0,22,3,,,,,
2026-03-22T22:45:24.000Z,ciri orng blok y gtu anti nasihat anti masukan😅,4,,tiktok,False,ciri orng blok y gtu anti nasihat anti masukan,ciri orng blok y gtu anti nasihat anti masukan,ciri orng blok y gtu anti nasihat anti masukan,47.0,9.0,46,9,,,,,
2026-03-23T10:24:40.000Z,dari duluu ada program beasiswa tololl,0,,tiktok,False,duluu program beasiswa tololl,dari duluu ada program beasiswa tololl,duluu program beasiswa tololl,38.0,6.0,29,4,,,,,
2026-03-23T11:00:03.000Z,"kalau emang BPK mempertahankan MBG melihat pengolahannya kira2 layak & pantas g untuk anak2 mkananya, kadang yg di tunjukan ke BPK TDK sama Ama yg d lapangan,MBG di lihat bner2 kira2 pantas dan layak atau g..kadang yg mengelolah MBG kadang SE enakx banyak yg d korupsi. hrusnya di tindak tegas..saya TDK menyalahn prokgram BPK tapi mohon BPK turun ke lapangan lgsung atau suruh kepercaan BPK untuk turun kelapangan untuk melihat pantas g nya makannya.",0,0.0,tiktok,False,"bpk mempertahankan makan bergizi gratis pengolahannya layak & tidak anak mkananya, kadang tunjukan bpk tdk ama d lapangan,mbg lihat bner layak g..kadang mengelolah makan bergizi gratis kadang enakx d korupsi. hrusnya tindak tegas..saya tdk menyalahn prokgram bpk mohon bpk turun lapangan lgsung suruh kepercaan bpk turun kelapangan tidak nya makannya.","kalau memang bpk mempertahankan makan bergizi gratis melihat pengolahannya kira layak & pantas tidak untuk anak mkananya, kadang yg di tunjukan ke bpk tdk sama ama yg d lapangan,mbg di lihat bner kira pantas dan layak atau g..kadang yg mengelolah makan bergizi gratis kadang se enakx banyak yg d korupsi. hrusnya di tindak tegas..saya tdk menyalahn prokgram bpk tapi mohon bpk turun ke lapangan lgsung atau suruh kepercaan bpk untuk turun kelapangan untuk melihat pantas tidak nya makannya.","bpk mempertahankan makan bergizi gratis pengolahannya layak & tidak anak mkananya, kadang tunjukan bpk tdk ama d lapangan,mbg lihat bner layak g..kadang mengelolah makan bergizi gratis kadang enakx d korupsi. hrusnya tindak tegas..saya tdk menyalahn prokgram bpk mohon bpk turun lapangan lgsung suruh kepercaan bpk turun kelapangan tidak nya makannya.",451.0,74.0,351,50,,,,,
2026-03-22T22:16:43.000Z,"berarti pemerintah tau mana yang lebih baik bang,penhematan awal menjabat aja nyisa 300 t,Skrang mau di tekan lagi lewat skema wfh, liat aja tu bejabat"" bakal lebih sengsara",0,,tiktok,False,"pemerintah tau baik bang,penhematan menjabat nyisa t,skrang tekan skema wfh, liat tu bejabat"" sengsara","berarti pemerintah tau mana yang lebih baik bang,penhematan awal menjabat aja nyisa t,skrang mau di tekan lagi lewat skema wfh, liat aja tu bejabat"" bakal lebih sengsara","pemerintah tau baik bang,penhematan menjabat nyisa t,skrang tekan skema wfh, liat tu bejabat"" sengsara",173.0,28.0,102,14,,,,,
2026-03-24T01:03:19.000Z,hemat dimananya Pak?. kasih cth hemat dimana? korupsi akan bertaburan,1,,tiktok,False,hemat dimananya pak?. kasih cth hemat dimana? korupsi bertaburan,hemat dimananya pak?. kasih cth hemat dimana? korupsi akan bertaburan,hemat dimananya pak?. kasih cth hemat dimana? korupsi bertaburan,69.0,10.0,64,9,,,,,
2026-03-23T05:43:22.000Z,"jaminan upah layak, pendidikan dan kesehatan yg utama pak",4,0.0,tiktok,False,"jaminan upah layak, pendidikan kesehatan utama","jaminan upah layak, pendidikan dan kesehatan yg utama pak","jaminan upah layak, pendidikan kesehatan utama",57.0,9.0,46,6,,,,,
2026-03-23T13:54:00.000Z,"astaghfirullah , angel2",0,0.0,tiktok,False,"astaghfirullah , angel","astaghfirullah , angel","astaghfirullah , angel",23.0,3.0,22,3,,,,,
2026-03-23T09:46:59.000Z,Ga sampe 2029 udh bye,0,0.0,tiktok,False,tidak sampe udh bye,tidak sampe udh bye,tidak sampe udh bye,21.0,5.0,19,4,,,,,
2026-03-23T01:10:31.000Z,"lho ini juga ga bener pak,penyajian makanannya tidak bergizi.",0,0.0,tiktok,False,"loh tidak bener pak,penyajian makanannya tidak bergizi.","loh ini juga tidak bener pak,penyajian makanannya tidak bergizi.","loh tidak bener pak,penyajian makanannya tidak bergizi.",61.0,9.0,55,7,,,,,
2026-03-23T03:07:54.000Z,ya pak lanjutkan terus mbg,0,0.0,tiktok,False,iya lanjutkan makan bergizi gratis,iya pak lanjutkan terus makan bergizi gratis,iya lanjutkan makan bergizi gratis,26.0,5.0,34,5,,,,,
2026-03-22T19:50:36.000Z,se gemoy bukan bertahan tapi Dia sangat Malu kalau MBG berhenti. walaupun dia tahu program ini GAGAL Total.,38,5.0,tiktok,False,gemoy bukan bertahan malu makan bergizi gratis berhenti. program gagal total.,se gemoy bukan bertahan tapi dia sangat malu kalau makan bergizi gratis berhenti. walaupun dia tahu program ini gagal total.,gemoy bukan bertahan malu makan bergizi gratis berhenti. program gagal total.,107.0,18.0,77,11,,,,,
2026-03-23T10:14:16.000Z,Drpd dikorupsi? Emang gak ada celah buat MBG dikorupsi pak? Nanya dengan nada pelan,0,0.0,tiktok,False,drpd dikorupsi? tidak celah makan bergizi gratis dikorupsi pak? nanya nada pelan,drpd dikorupsi? memang tidak ada celah buat makan bergizi gratis dikorupsi pak? nanya dengan nada pelan,drpd dikorupsi? tidak celah makan bergizi gratis dikorupsi pak? nanya nada pelan,83.0,14.0,80,12,,,,,
2026-03-23T15:43:50.000Z,eh pak sidik MBG teh lahan na korupsi,0,0.0,tiktok,False,eh sidik makan bergizi gratis teh lahan na korupsi,eh pak sidik makan bergizi gratis teh lahan na korupsi,eh sidik makan bergizi gratis teh lahan na korupsi,37.0,8.0,50,9,,,,,
2026-03-23T03:39:42.000Z,"TUJUAN MANUSIA INI,, BUKAN MBG NYA,, INTINYA DIA CARI SIMPATI UNTUK MENCALONKAN LGI JDI PRESIDEN,, DAN KAMI YAKIN GAK BAKALAN JADI,",0,0.0,tiktok,False,"tujuan manusia ini,, bukan makan bergizi gratis nya,, intinya cari simpati mencalonkan lgi jdi presiden,, tidak jadi,","tujuan manusia ini,, bukan makan bergizi gratis nya,, intinya dia cari simpati untuk mencalonkan lgi jdi presiden,, dan kami yakin tidak bakalan jadi,","tujuan manusia ini,, bukan makan bergizi gratis nya,, intinya cari simpati mencalonkan lgi jdi presiden,, tidak jadi,",131.0,21.0,117,17,,,,,
2026-03-22T22:43:04.000Z,"betul, kan fokusnya memberentas stunting. fokusin aja ke daerah yg stunting nya tinggi.",0,,tiktok,False,"betul, fokusnya memberentas stunting. fokusin daerah stunting nya tinggi.","betul, kan fokusnya memberentas stunting. fokusin aja ke daerah yg stunting nya tinggi.","betul, fokusnya memberentas stunting. fokusin daerah stunting nya tinggi.",87.0,13.0,73,9,,,,,
2026-03-23T08:38:09.000Z,"tapi kenapa semua orang mampu di kasih MBG
MBG juga lahan korupsi pak",0,0.0,tiktok,False,orang kasih makan bergizi gratis makan bergizi gratis lahan korupsi,tapi kenapa semua orang mampu di kasih makan bergizi gratis makan bergizi gratis juga lahan korupsi pak,orang kasih makan bergizi gratis makan bergizi gratis lahan korupsi,69.0,13.0,67,10,,,,,
2026-03-24T01:39:34.000Z,klau gak setuju berarti ada permainan dalam lingkungan mbg,0,,tiktok,False,klau tidak setuju permainan lingkungan makan bergizi gratis,klau tidak setuju berarti ada permainan dalam lingkungan makan bergizi gratis,klau tidak setuju permainan lingkungan makan bergizi gratis,58.0,9.0,59,8,,,,,
2026-03-24T06:27:22.000Z,knp ya dia sngtt mempertahankan mbg😏,0,0.0,tiktok,False,iya sngtt mempertahankan makan bergizi gratis,kenapa iya dia sngtt mempertahankan makan bergizi gratis,iya sngtt mempertahankan makan bergizi gratis,36.0,6.0,45,6,,,,,
2026-03-22T17:27:11.000Z,jangan sok tau dia lihat lihat,0,,tiktok,False,jangan sok tau lihat lihat,jangan sok tau dia lihat lihat,jangan sok tau lihat lihat,30.0,6.0,26,5,,,,,
2026-03-23T06:37:58.000Z,"bapak presiden yang saya hormati, dapur2 dibangun modal awal 1M..utk kelengkapan dll nya..tp makanan yg dikirim , kue marie, roti, susu kemasan, bahkan yang ironis ikan mentah, telur mentah..gimana aturannya itu fungsi dapur buat apa? kerjasama saja dengan mini market kalo gt",0,0.0,tiktok,False,"presiden hormati, dapur dibangun modal m..utk kelengkapan nya..tp makanan dikirim , kue marie, roti, susu kemasan, ironis ikan mentah, telur mentah..gimana aturannya fungsi dapur apa? kerjasama mini market gitu","bapak presiden yang saya hormati, dapur dibangun modal awal m..utk kelengkapan dll nya..tp makanan yg dikirim , kue marie, roti, susu kemasan, bahkan yang ironis ikan mentah, telur mentah..gimana aturannya itu fungsi dapur buat apa? kerjasama saja dengan mini market kalau gitu","presiden hormati, dapur dibangun modal m..utk kelengkapan nya..tp makanan dikirim , kue marie, roti, susu kemasan, ironis ikan mentah, telur mentah..gimana aturannya fungsi dapur apa? kerjasama mini market gitu",276.0,42.0,210,29,,,,,
2026-03-22T14:13:03.000Z,"lu ngomong kek gini ,dalam keadaan perut lu kenyang",0,,tiktok,False,"lu ngomong kek ,dalam perut lu kenyang","lu ngomong kek begini ,dalam keadaan perut lu kenyang","lu ngomong kek ,dalam perut lu kenyang",51.0,9.0,38,7,,,,,
2026-03-23T01:01:08.000Z,"ga apa pak, asal jangan asal asalan menunya,, pastikan anak dpt makanan yg oke dan mekanismes kontrol dr pejabat yang maunya korup aja itu",0,0.0,tiktok,False,"tidak pak, jangan asalan menunya,, pastikan anak makanan oke mekanismes kontrol pejabat maunya korup","tidak apa pak, asal jangan asal asalan menunya,, pastikan anak dapat makanan yg oke dan mekanismes kontrol dari pejabat yang maunya korup aja itu","tidak pak, jangan asalan menunya,, pastikan anak makanan oke mekanismes kontrol pejabat maunya korup",138.0,24.0,100,14,,,,,
2026-03-23T06:49:53.000Z,ok gas ok gas,0,0.0,tiktok,False,ok gas ok gas,ok gas ok gas,ok gas ok gas,13.0,4.0,13,4,,,,,
2026-03-23T02:26:07.000Z,dlm mbg utu itu ladang korupsi.,0,0.0,tiktok,False,makan bergizi gratis utu ladang korupsi.,dalam makan bergizi gratis utu itu ladang korupsi.,makan bergizi gratis utu ladang korupsi.,31.0,6.0,40,6,,,,,
2026-03-22T14:50:06.000Z,justru MBG jd ladang korupsi pak presiden,0,0.0,tiktok,False,makan bergizi gratis jd ladang korupsi presiden,justru makan bergizi gratis jd ladang korupsi pak presiden,makan bergizi gratis jd ladang korupsi presiden,41.0,7.0,47,7,,,,,
2026-03-23T18:34:46.000Z,timses blom balik modal,0,0.0,tiktok,False,timses blom modal,timses blom balik modal,timses blom modal,23.0,4.0,17,3,,,,,
2026-03-23T08:39:51.000Z,stop MBG..!!,0,0.0,tiktok,False,stop makan bergizi gratis,stop makan bergizi gratis,stop makan bergizi gratis,12.0,2.0,25,4,,,,,
